Willingness to take vaccine,Gender,Age,Education,Race,Financial Status,State,Census Region
no,Female,>70,Highschool,White,Middle class,California,Pacific
yes,Female,25-44,Highschool,White,Upper middle class,Pennsylvania,Mid-Atlantic
yes,Female,25-44,Highschool,White,Middle class,Alabama,East South Central
yes,Female,61-70,Graduate,White,Middle class,Georgia,South Atlantic
yes,Female,25-44,Middle school or less,White,Lower middle class/poor,Texas,West South Central
no,Male,61-70,Highschool,White,Lower middle class/poor,Rhode Island,New England
yes,Female,61-70,Graduate,White,Upper middle class,Massachusetts,New England
yes,Female,45-60,Masters,White,Middle class,Utah,Mountain
yes,Female,45-60,Undergraduate,White,Middle class,Florida,South Atlantic
yes,Female,45-60,Undergraduate,White,Middle class,Maine,New England
no,Female,45-60,Undergraduate,White,Middle class,California,Pacific
yes,Female,61-70,Undergraduate,White,Wealthy,California,Pacific
yes,Female,18-24,Undergraduate,White,Upper middle class,DC,South Atlantic
yes,Female,45-60,Undergraduate,White,Middle class,Florida,South Atlantic
yes,Female,>70,Graduate,White,Middle class,Florida,South Atlantic
yes,Female,45-60,Graduate,White,Lower middle class/poor,Washington,Pacific
no,Female,25-44,Highschool,White,Middle class,Tennessee,East South Central
yes,Female,25-44,Graduate,Asian,Upper middle class,California,Pacific
yes,Female,25-44,Graduate,White,Upper middle class,Ohio,East North Central
yes,Female,45-60,Middle school or less,White,Lower middle class/poor,North Carolina,South Atlantic
no,Female,25-44,Highschool,White,Lower middle class/poor,Alabama,East South Central
yes,Male,>70,Undergraduate,White,Middle class,Arizona,Mountain
no,Female,>70,Undergraduate,Black,Middle class,Ohio,East North Central
yes,Female,45-60,Highschool,White,Middle class,DC,South Atlantic
yes,Female,>70,Undergraduate,White,Middle class,California,Pacific
yes,Female,25-44,Undergraduate,Hispanic,Lower middle class/poor,Tennessee,East South Central
yes,Female,45-60,Masters,White,Upper middle class,Arkansas,West South Central
yes,Female,18-24,Highschool,White,Middle class,Ohio,East North Central
yes,Female,61-70,Graduate,White,Upper middle class,California,Pacific
yes,Female,45-60,Undergraduate,White,Middle class,Wisconsin,East North Central
yes,Female,61-70,Undergraduate,White,Lower middle class/poor,California,Pacific
yes,Female,45-60,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,>70,Masters,White,Lower middle class/poor,California,Pacific
yes,Male,45-60,Highschool,White,Middle class,California,Pacific
yes,Female,45-60,Highschool,White,Lower middle class/poor,Florida,South Atlantic
yes,Female,25-44,Masters,Hispanic,Upper middle class,Ohio,East North Central
yes,Male,45-60,Undergraduate,Hispanic,Lower middle class/poor,California,Pacific
yes,Female,25-44,Undergraduate,White,Middle class,Georgia,South Atlantic
yes,Female,18-24,Highschool,White,Middle class,Texas,West South Central
yes,Female,45-60,Graduate,White,Upper middle class,California,Pacific
yes,Female,25-44,Graduate,Black,Middle class,Ohio,East North Central
yes,Female,>70,Graduate,White,Upper middle class,Ohio,East North Central
yes,Female,45-60,Graduate,White,Upper middle class,Florida,South Atlantic
no,Male,>70,Highschool,White,Middle class,Florida,South Atlantic
yes,Female,45-60,Undergraduate,White,Middle class,California,Pacific
no,Female,61-70,Highschool,White,Lower middle class/poor,Massachusetts,New England
no,Female,25-44,Middle school or less,White,Middle class,Pennsylvania,Mid-Atlantic
no,Female,61-70,Highschool,Black,Middle class,South Carolina,South Atlantic
no,Female,45-60,Graduate,White,Middle class,Georgia,South Atlantic
yes,Female,25-44,Undergraduate,Other,Lower middle class/poor,Oregon,Pacific
yes,Female,25-44,Graduate,White,Upper middle class,Indiana,East North Central
yes,Male,>70,Graduate,White,Middle class,Arizona,Mountain
yes,Male,61-70,Highschool,White,Upper middle class,California,Pacific
yes,Female,>70,Highschool,White,Middle class,Colorado,Mountain
yes,Female,61-70,Highschool,White,Upper middle class,Kentucky,East South Central
no,Male,25-44,Masters,White,Upper middle class,North Carolina,South Atlantic
yes,Female,25-44,Middle school or less,White,Lower middle class/poor,Maryland,South Atlantic
yes,Female,>70,Graduate,White,Upper middle class,California,Pacific
yes,Female,45-60,Masters,White,Upper middle class,Arizona,Mountain
no,Female,18-24,Highschool,White,Upper middle class,California,Pacific
yes,Male,45-60,Undergraduate,White,Middle class,Wisconsin,East North Central
yes,Male,25-44,Highschool,White,Middle class,Ohio,East North Central
yes,Female,25-44,Masters,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Male,>70,Masters,White,Upper middle class,California,Pacific
yes,Female,25-44,Masters,White,Middle class,New Jersey,Mid-Atlantic
yes,Female,45-60,Highschool,White,Upper middle class,Ohio,East North Central
yes,Female,>70,Masters,White,Middle class,California,Pacific
no,Female,61-70,Masters,White,Upper middle class,Florida,South Atlantic
yes,Female,45-60,Undergraduate,White,Middle class,North Carolina,South Atlantic
yes,Female,61-70,Undergraduate,White,Upper middle class,Texas,West South Central
yes,Female,45-60,Masters,White,Upper middle class,Utah,Mountain
yes,Female,61-70,Undergraduate,Black,Middle class,New York,Mid-Atlantic
no,Female,25-44,Undergraduate,White,Middle class,Ohio,East North Central
yes,Female,45-60,Highschool,White,Middle class,Arizona,Mountain
yes,Female,25-44,Highschool,White,Middle class,Illinois,East North Central
yes,Male,25-44,Graduate,Other,Lower middle class/poor,Ohio,East North Central
yes,Female,45-60,Highschool,White,Middle class,Georgia,South Atlantic
yes,Male,>70,Undergraduate,White,Middle class,Kentucky,East South Central
yes,Female,>70,Highschool,White,Middle class,New York,Mid-Atlantic
yes,Female,25-44,Graduate,White,Middle class,Arkansas,West South Central
yes,Female,45-60,Undergraduate,White,Middle class,Maryland,South Atlantic
yes,Female,18-24,Highschool,Black,Lower middle class/poor,Missouri,West North Central
yes,Female,25-44,Undergraduate,White,Middle class,Ohio,East North Central
no,Female,25-44,Highschool,White,Middle class,Minnesota,West North Central
yes,Female,25-44,Graduate,Other,Upper middle class,Pennsylvania,Mid-Atlantic
yes,Male,61-70,Highschool,White,Middle class,Alabama,East South Central
no,Female,61-70,Highschool,White,Middle class,Oregon,Pacific
yes,Female,45-60,Graduate,White,Middle class,North Carolina,South Atlantic
no,Female,45-60,Middle school or less,White,Lower middle class/poor,Arkansas,West South Central
yes,Female,25-44,Masters,White,Upper middle class,New York,Mid-Atlantic
yes,Female,>70,Undergraduate,White,Upper middle class,Massachusetts,New England
yes,Male,45-60,Masters,White,Upper middle class,Ohio,East North Central
yes,Female,>70,Highschool,White,Middle class,Virginia,South Atlantic
yes,Female,45-60,Highschool,White,Middle class,Missouri,West North Central
yes,Female,45-60,Graduate,White,Middle class,Massachusetts,New England
yes,Male,45-60,Highschool,White,Middle class,New York,Mid-Atlantic
yes,Female,25-44,Highschool,White,Middle class,Minnesota,West North Central
yes,Female,25-44,Masters,White,Lower middle class/poor,Arkansas,West South Central
yes,Female,45-60,Undergraduate,White,Middle class,Tennessee,East South Central
yes,Female,25-44,Middle school or less,White,Upper middle class,Tennessee,East South Central
yes,Male,61-70,Highschool,White,Upper middle class,Virginia,South Atlantic
yes,Male,61-70,Middle school or less,White,Middle class,Alabama,East South Central
yes,Female,45-60,Graduate,White,Upper middle class,Ohio,East North Central
yes,Male,>70,Undergraduate,Other,Upper middle class,Tennessee,East South Central
yes,Female,61-70,Highschool,White,Upper middle class,Utah,Mountain
yes,Female,61-70,Graduate,White,Upper middle class,Minnesota,West North Central
yes,Female,>70,Graduate,White,Middle class,California,Pacific
yes,Male,61-70,Middle school or less,Black,Lower middle class/poor,Ohio,East North Central
yes,Male,45-60,Undergraduate,White,Lower middle class/poor,California,Pacific
yes,Female,45-60,Graduate,White,Upper middle class,Pennsylvania,Mid-Atlantic
yes,Female,>70,Graduate,White,Upper middle class,Illinois,East North Central
yes,Female,61-70,Highschool,Black,Middle class,Maryland,South Atlantic
no,Male,45-60,Highschool,White,Middle class,Alabama,East South Central
no,Female,45-60,Graduate,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,61-70,Middle school or less,Black,Lower middle class/poor,Maryland,South Atlantic
yes,Male,>70,Masters,White,Upper middle class,Maryland,South Atlantic
yes,Female,61-70,Middle school or less,White,Middle class,Iowa,West North Central
yes,Male,>70,Undergraduate,White,Middle class,Missouri,West North Central
yes,Female,45-60,Highschool,White,Lower middle class/poor,Ohio,East North Central
yes,Male,45-60,Undergraduate,Other,Middle class,Massachusetts,New England
yes,Female,25-44,Graduate,White,Middle class,Ohio,East North Central
no,Female,45-60,Graduate,White,Middle class,Minnesota,West North Central
yes,Female,25-44,Highschool,White,Middle class,North Carolina,South Atlantic
no,Female,45-60,Graduate,White,Upper middle class,Pennsylvania,Mid-Atlantic
yes,Female,25-44,Highschool,White,Middle class,Kentucky,East South Central
yes,Female,25-44,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Male,61-70,Highschool,White,Middle class,Ohio,East North Central
no,Female,45-60,Masters,White,Middle class,Wisconsin,East North Central
yes,Male,45-60,Highschool,White,Middle class,New York,Mid-Atlantic
yes,Female,61-70,Middle school or less,White,Middle class,Colorado,Mountain
yes,Female,45-60,Graduate,Asian,Middle class,Michigan,East North Central
yes,Female,61-70,Graduate,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,25-44,Undergraduate,White,Upper middle class,Pennsylvania,Mid-Atlantic
yes,Female,25-44,Highschool,White,Middle class,Tennessee,East South Central
yes,Female,25-44,Highschool,Other,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,45-60,Masters,White,Upper middle class,Pennsylvania,Mid-Atlantic
yes,Female,45-60,Middle school or less,White,Middle class,Florida,South Atlantic
no,Female,25-44,Undergraduate,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,45-60,Graduate,White,Upper middle class,Pennsylvania,Mid-Atlantic
no,Female,25-44,Middle school or less,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,25-44,Undergraduate,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,25-44,Highschool,White,Upper middle class,Pennsylvania,Mid-Atlantic
yes,Female,45-60,Masters,White,Upper middle class,Pennsylvania,Mid-Atlantic
yes,Female,45-60,Highschool,White,Lower middle class/poor,Utah,Mountain
no,Female,45-60,Masters,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,25-44,Highschool,White,Upper middle class,Pennsylvania,Mid-Atlantic
no,Female,45-60,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,45-60,Undergraduate,Black,Middle class,Pennsylvania,Mid-Atlantic
yes,Male,>70,Undergraduate,White,Middle class,Tennessee,East South Central
yes,Female,45-60,Graduate,White,Upper middle class,North Carolina,South Atlantic
yes,Female,25-44,Graduate,White,Middle class,Pennsylvania,Mid-Atlantic
no,Female,45-60,Graduate,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,25-44,Highschool,White,Upper middle class,Pennsylvania,Mid-Atlantic
yes,Female,45-60,Graduate,White,Middle class,California,Pacific
yes,Female,61-70,Undergraduate,White,Upper middle class,North Carolina,South Atlantic
yes,Female,25-44,Highschool,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,45-60,Graduate,White,Upper middle class,Pennsylvania,Mid-Atlantic
yes,Male,>70,Masters,White,Upper middle class,Oregon,Pacific
yes,Female,25-44,Middle school or less,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,25-44,Undergraduate,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Female,61-70,Highschool,Black,Upper middle class,Illinois,East North Central
yes,Female,25-44,Graduate,White,Middle class,Pennsylvania,Mid-Atlantic
no,Male,61-70,Graduate,Other,Upper middle class,Alabama,East South Central
no,Female,25-44,Masters,Black,Middle class,Georgia,South Atlantic
no,Female,45-60,Middle school or less,White,Lower middle class/poor,New York,Mid-Atlantic
yes,Male,45-60,Undergraduate,White,Upper middle class,Florida,South Atlantic
yes,Male,18-24,Highschool,White,Upper middle class,California,Pacific
no,Female,61-70,Undergraduate,White,Middle class,Oregon,Pacific
no,Female,25-44,Graduate,White,Lower middle class/poor,Missouri,West North Central
yes,Female,61-70,Graduate,White,Middle class,GA,South Atlantic
yes,Female,18-24,Masters,White,Upper middle class,Michigan,East North Central
yes,Female,18-24,Middle school or less,Black,Lower middle class/poor,New York,Mid-Atlantic
yes,Female,18-24,Highschool,Asian,Middle class,NJ,Mid-Atlantic
yes,Female,45-60,Graduate,Black,Lower middle class/poor,CO,Mountain
yes,Male,18-24,Undergraduate,White,Middle class,New York,Mid-Atlantic
yes,Female,45-60,Graduate,White,Upper middle class,South carolina,South Atlantic
yes,Female,18-24,Graduate,White,Middle class,Texas,West South Central
yes,Female,61-70,Undergraduate,White,Lower middle class/poor,New York,Mid-Atlantic
yes,Male,61-70,Graduate,White,Middle class,Ohio,East North Central
yes,Male,61-70,Graduate,White,Middle class,Or,Pacific
no,Female,18-24,Highschool,Other,Lower middle class/poor,Florida,South Atlantic
yes,Female,25-44,Graduate,White,Middle class,NY,Mid-Atlantic
yes,Female,61-70,Graduate,White,Upper middle class,Minnesota,West North Central
no,Male,25-44,Graduate,White,Middle class,Idaho,Mountain
yes,Female,>70,Undergraduate,White,Wealthy,California,Pacific
no,Female,25-44,Masters,White,Middle class,MN,West North Central
yes,Female,45-60,Masters,White,Middle class,New York,Mid-Atlantic
yes,Male,18-24,Highschool,White,Lower middle class/poor,California,Pacific
yes,Female,25-44,Highschool,White,Lower middle class/poor,Alaska,Pacific
yes,Female,18-24,Graduate,White,Upper middle class,Kentucky,East South Central
yes,Female,25-44,Graduate,White,Middle class,Utah,Mountain
no,Female,45-60,Middle school or less,White,Middle class,Delaware,South Atlantic
yes,Female,61-70,Graduate,White,Upper middle class,Minnesota,West North Central
yes,Female,>70,Highschool,White,Middle class,Al,East South Central
yes,Female,45-60,Masters,White,Middle class,GA,South Atlantic
yes,Female,25-44,Undergraduate,White,Middle class,MN,West North Central
yes,Female,25-44,Highschool,Black,Middle class,Georgia,South Atlantic
yes,Male,45-60,Highschool,Other,Lower middle class/poor,Delaware,South Atlantic
yes,Female,25-44,Graduate,White,Upper middle class,CA,Pacific
yes,Female,25-44,Graduate,White,Upper middle class,Ohio,East North Central
yes,Female,18-24,Highschool,White,Lower middle class/poor,New Jersey,Mid-Atlantic
yes,Female,25-44,Undergraduate,White,Middle class,Tennessee,East South Central
yes,Female,61-70,Highschool,White,Middle class,Ga,South Atlantic
yes,Male,25-44,Highschool,Hispanic,Lower middle class/poor,California,Pacific
yes,Female,25-44,Graduate,White,Middle class,Ohio,East North Central
yes,Female,61-70,Graduate,White,Middle class,Washington,Pacific
yes,Female,61-70,Graduate,White,Upper middle class,California,Pacific
yes,Female,61-70,Masters,White,Upper middle class,Oregon,Pacific
yes,Male,45-60,Undergraduate,Black,Lower middle class/poor,Georgia,South Atlantic
yes,Male,25-44,Middle school or less,White,Lower middle class/poor,New York,Mid-Atlantic
yes,Female,25-44,Highschool,White,Middle class,ohio,East North Central
yes,Female,61-70,Undergraduate,White,Middle class,New York,Mid-Atlantic
yes,Male,18-24,Highschool,Black,Middle class,New York,Mid-Atlantic
yes,Female,25-44,Masters,White,Upper middle class,FL,South Atlantic
no,Female,25-44,Undergraduate,Hispanic,Middle class,NJ,Mid-Atlantic
yes,Male,45-60,Undergraduate,White,Upper middle class,Texas,West South Central
yes,Female,45-60,Highschool,White,Upper middle class,Wisconsin,East North Central
yes,Male,25-44,Highschool,White,Wealthy,Washington,Pacific
yes,Female,>70,Masters,White,Middle class,MA,New England
yes,Female,61-70,Undergraduate,White,Upper middle class,MD,South Atlantic
yes,Female,45-60,Graduate,White,Middle class,VA,South Atlantic
no,Female,45-60,Highschool,Hispanic,Middle class,Oregon,Pacific
yes,Male,>70,Highschool,White,Middle class,Ohio,East North Central
yes,Female,45-60,Graduate,Hispanic,Middle class,FL,South Atlantic
yes,Female,45-60,Graduate,White,Lower middle class/poor,GA,South Atlantic
yes,Male,61-70,Undergraduate,White,Lower middle class/poor,TN,East South Central
no,Female,25-44,Graduate,White,Middle class,TX,West South Central
no,Female,61-70,Undergraduate,White,Middle class,Oregon,Pacific
yes,Female,45-60,Undergraduate,White,Upper middle class,Maryland,South Atlantic
yes,Female,25-44,Middle school or less,White,Upper middle class,California,Pacific
no,Female,61-70,Highschool,Hispanic,Lower middle class/poor,California,Pacific
yes,Male,>70,Masters,White,Middle class,California,Pacific
yes,Female,25-44,Masters,Other,Upper middle class,New Mexico,Mountain
yes,Male,25-44,Undergraduate,White,Middle class,Tx,West South Central
yes,Female,18-24,Middle school or less,White,Middle class,CA,Pacific
no,Female,25-44,Middle school or less,White,Lower middle class/poor,California,Pacific
yes,Female,25-44,Highschool,White,Middle class,Md,South Atlantic
yes,Female,61-70,Highschool,White,Upper middle class,California,Pacific
yes,Female,25-44,Undergraduate,White,Middle class,Washington,Pacific
no,Female,45-60,Middle school or less,White,Middle class,New York,Mid-Atlantic
yes,Female,25-44,Highschool,Hispanic,Lower middle class/poor,CA,Pacific
yes,Female,25-44,Graduate,White,Middle class,SC,South Atlantic
yes,Female,25-44,Masters,White,Upper middle class,CA,Pacific
yes,Male,25-44,Highschool,Hispanic,Lower middle class/poor,Ohio,East North Central
yes,Male,>70,Undergraduate,White,Middle class,Maine,New England
yes,Male,61-70,Undergraduate,White,Lower middle class/poor,North Carolina,South Atlantic
no,Female,25-44,Undergraduate,White,Middle class,ohio,East North Central
yes,Female,45-60,Undergraduate,White,Lower middle class/poor,TN,East South Central
yes,Female,45-60,Graduate,White,Middle class,Virginia,South Atlantic
yes,Male,>70,Undergraduate,White,Middle class,Ohio,East North Central
yes,Male,>70,Graduate,White,Middle class,Ohio,East North Central
no,Female,45-60,Middle school or less,White,Middle class,OR,Pacific
yes,Male,25-44,Middle school or less,Black,Lower middle class/poor,Nj,Mid-Atlantic
yes,Female,18-24,Highschool,White,Middle class,Ohio,East North Central
yes,Female,>70,Masters,White,Upper middle class,New York,Mid-Atlantic
yes,Male,61-70,Highschool,White,Upper middle class,CA,Pacific
yes,Female,45-60,Graduate,White,Upper middle class,Oregon,Pacific
yes,Female,45-60,Undergraduate,Other,Middle class,Oregon,Pacific
yes,Female,45-60,Undergraduate,Black,Lower middle class/poor,Rochestere NY,Mid-Atlantic
yes,Male,61-70,Highschool,White,Upper middle class,New Jersey,Mid-Atlantic
yes,Female,18-24,Middle school or less,White,Lower middle class/poor,Utah,Mountain
yes,Female,61-70,Graduate,White,Middle class,Oklahoma,West South Central
yes,Male,>70,Highschool,White,Middle class,Maryland,South Atlantic
yes,Female,25-44,Middle school or less,White,Upper middle class,California,Pacific
no,Female,61-70,Undergraduate,White,Upper middle class,PA,Mid-Atlantic
yes,Female,25-44,Graduate,White,Middle class,NY,Mid-Atlantic
yes,Female,25-44,Graduate,Hispanic,Middle class,NY,Mid-Atlantic
yes,Female,45-60,Highschool,White,Middle class,New York,Mid-Atlantic
yes,Female,45-60,Middle school or less,Hispanic,Middle class,NM,Mountain
yes,Male,61-70,Undergraduate,White,Middle class,MD,South Atlantic
yes,Female,45-60,Middle school or less,Other,Middle class,Maryland,South Atlantic
yes,Female,61-70,Middle school or less,Other,Lower middle class/poor,New York,Mid-Atlantic
yes,Female,61-70,Undergraduate,White,Middle class,Florida,South Atlantic
yes,Female,45-60,Undergraduate,White,Lower middle class/poor,Nevada,Mountain
yes,Female,45-60,Masters,Black,Middle class,MD,South Atlantic
no,Male,45-60,Middle school or less,White,Upper middle class,AL,East South Central
yes,Female,61-70,Undergraduate,White,Middle class,MA,New England
yes,Male,61-70,Middle school or less,White,Middle class,OHIO,East North Central
yes,Male,61-70,Highschool,White,Middle class,Virginia,South Atlantic
yes,Female,45-60,Graduate,White,Middle class,TEXAS,West South Central
yes,Male,25-44,Masters,White,Upper middle class,New York,Mid-Atlantic
yes,Male,45-60,Masters,White,Upper middle class,Virginia,South Atlantic
yes,Female,45-60,Masters,White,Upper middle class,MA,New England
no,Female,25-44,Masters,Other,Middle class,NC,South Atlantic
yes,Female,25-44,Masters,White,Upper middle class,Virginia,South Atlantic
yes,Female,25-44,Masters,White,Upper middle class,Georgia,South Atlantic
yes,Female,61-70,Undergraduate,White,Middle class,PA,Mid-Atlantic
yes,Female,45-60,Highschool,Other,Lower middle class/poor,New York,Mid-Atlantic
yes,Female,>70,Masters,White,Middle class,tennessee,East South Central
yes,Female,45-60,Highschool,White,Middle class,Virginia,South Atlantic
yes,Female,61-70,Highschool,White,Upper middle class,Florida,South Atlantic
yes,Male,>70,Undergraduate,White,Middle class,Okio,East North Central
yes,Male,45-60,Undergraduate,White,Upper middle class,Arkansas,West South Central
yes,Male,>70,Masters,White,Upper middle class,Florida,South Atlantic
yes,Female,25-44,Graduate,White,Middle class,Texas,West South Central
yes,Female,>70,Graduate,White,Middle class,MD,South Atlantic
yes,Male,45-60,Undergraduate,Hispanic,Middle class,Virginia,South Atlantic
yes,Female,45-60,Graduate,White,Middle class,Maine,New England
yes,Female,25-44,Highschool,White,Middle class,Texas,West South Central
yes,Female,45-60,Graduate,White,Upper middle class,VA,South Atlantic
yes,Male,45-60,Masters,White,Middle class,Missori,West North Central
yes,Female,45-60,Highschool,Other,Upper middle class,Maryland,South Atlantic
no,Male,61-70,Masters,White,Upper middle class,New Jersey,Mid-Atlantic
yes,Male,61-70,Highschool,White,Middle class,Arkansas,West South Central
yes,Female,25-44,Highschool,White,Middle class,SC,South Atlantic
yes,Female,61-70,Middle school or less,White,Middle class,Missouri,West North Central
yes,Female,25-44,Highschool,White,Middle class,Ohio,East North Central
yes,Male,61-70,Masters,White,Upper middle class,Massachusetts,New England
yes,Female,25-44,Masters,Hispanic,Middle class,Minnesota,West North Central
yes,Female,25-44,Graduate,White,Wealthy,MN,West North Central
yes,Female,45-60,Masters,White,Middle class,Texas,West South Central
yes,Male,61-70,Masters,White,Upper middle class,Maryland,South Atlantic
yes,Female,61-70,Undergraduate,White,Middle class,New York,Mid-Atlantic
yes,Female,25-44,Highschool,White,Middle class,WA,Pacific
yes,Female,>70,Highschool,White,Middle class,New York,Mid-Atlantic
yes,Female,25-44,Highschool,Hispanic,Lower middle class/poor,NY,Mid-Atlantic
no,Female,25-44,Middle school or less,White,Middle class,Texas,West South Central
yes,Male,61-70,Undergraduate,White,Middle class,NJ,Mid-Atlantic
yes,Female,45-60,Highschool,White,Middle class,OH,East North Central
yes,Male,>70,Undergraduate,White,Middle class,California,Pacific
no,Male,61-70,Highschool,Other,Upper middle class,Missouri,West North Central
yes,Female,45-60,Graduate,White,Middle class,California,Pacific
yes,Female,45-60,Graduate,White,Upper middle class,Virginia,South Atlantic
yes,Female,25-44,Highschool,White,Middle class,Illinois,East North Central
no,Female,61-70,Highschool,White,Middle class,VA,South Atlantic
yes,Female,45-60,Undergraduate,White,Middle class,Virginia,South Atlantic
yes,Female,25-44,Masters,White,Middle class,Ohio,East North Central
yes,Female,61-70,Highschool,White,Middle class,Ohio,East North Central
yes,Female,25-44,Graduate,White,Upper middle class,Maryland,South Atlantic
yes,Male,>70,Graduate,White,Lower middle class/poor,California,Pacific
yes,Female,61-70,Graduate,White,Upper middle class,Arizona,Mountain
yes,Female,45-60,Undergraduate,White,Upper middle class,Virginia,South Atlantic
no,Female,25-44,Highschool,White,Middle class,NY,Mid-Atlantic
yes,Female,25-44,Graduate,White,Middle class,NY,Mid-Atlantic
no,Female,45-60,Highschool,White,Upper middle class,Texas,West South Central
no,Female,45-60,Undergraduate,White,Middle class,Michigan,East North Central
yes,Male,45-60,Undergraduate,White,Middle class,Utah,Mountain
yes,Male,>70,Masters,White,Middle class,Virginia,South Atlantic
yes,Male,61-70,Masters,White,Upper middle class,Florida,South Atlantic
yes,Female,25-44,Graduate,White,Middle class,Illinois,East North Central
yes,Female,>70,Graduate,White,Middle class,Ks,West North Central
yes,Female,45-60,Highschool,White,Middle class,New York,Mid-Atlantic
yes,Male,61-70,Graduate,White,Middle class,OHIO,East North Central
no,Male,61-70,Graduate,Other,Upper middle class,Virginia,South Atlantic
yes,Male,61-70,Undergraduate,White,Middle class,Kentucky,East South Central
yes,Male,61-70,Graduate,White,Middle class,OR,Pacific
yes,Female,25-44,Graduate,Hispanic,Middle class,TX,West South Central
no,Female,45-60,Highschool,White,Middle class,Michigan,East North Central
yes,Male,61-70,Undergraduate,White,Middle class,NC,South Atlantic
yes,Female,>70,Graduate,White,Upper middle class,north carolina,South Atlantic
yes,Male,>70,Undergraduate,White,Middle class,OREGON,Pacific
yes,Female,25-44,Middle school or less,White,Lower middle class/poor,Ohio,East North Central
yes,Male,>70,Middle school or less,White,Middle class,Wisconsin,East North Central
yes,Male,61-70,Highschool,White,Upper middle class,ct,New England
yes,Female,45-60,Masters,White,Upper middle class,Georgia,South Atlantic
yes,Male,61-70,Graduate,White,Middle class,New York,Mid-Atlantic
yes,Male,25-44,Undergraduate,White,Middle class,GA,South Atlantic
yes,Male,>70,Graduate,White,Upper middle class,florida,South Atlantic
yes,Female,45-60,Graduate,White,Lower middle class/poor,Arizona,Mountain
yes,Male,61-70,Highschool,White,Middle class,Wisconsin,East North Central
yes,Male,61-70,Masters,White,Upper middle class,Maryland,South Atlantic
yes,Male,>70,Undergraduate,White,Middle class,WA,Pacific
yes,Female,45-60,Graduate,White,Upper middle class,OH,East North Central
yes,Female,25-44,Masters,White,Middle class,Tennessee,East South Central
yes,Male,61-70,Undergraduate,White,Middle class,New York,Mid-Atlantic
no,Female,>70,Highschool,White,Middle class,Florida,South Atlantic
no,Female,45-60,Highschool,White,Middle class,PA,Mid-Atlantic
yes,Male,61-70,Undergraduate,White,Middle class,Illinois,East North Central
yes,Female,25-44,Highschool,Black,Lower middle class/poor,Missouri,West North Central
yes,Male,>70,Masters,White,Wealthy,Florida,South Atlantic
yes,Male,61-70,Graduate,White,Upper middle class,Tennessee,East South Central
yes,Female,61-70,Graduate,White,Middle class,New York,Mid-Atlantic
yes,Male,61-70,Middle school or less,White,Middle class,Pennsylvania,Mid-Atlantic
yes,Male,>70,Undergraduate,White,Middle class,New York,Mid-Atlantic
yes,Male,>70,Highschool,White,Middle class,New York,Mid-Atlantic
yes,Female,61-70,Graduate,White,Upper middle class,md,South Atlantic
yes,Female,45-60,Masters,Hispanic,Middle class,Florida,South Atlantic
yes,Male,>70,Masters,White,Middle class,AZ,Mountain
yes,Female,45-60,Undergraduate,White,Lower middle class/poor,Va,South Atlantic
yes,Female,61-70,Undergraduate,White,Middle class,Kansas,West North Central
yes,Male,25-44,Graduate,White,Lower middle class/poor,Ohio,East North Central
yes,Female,25-44,Highschool,White,Middle class,Tennessee,East South Central
yes,Male,>70,Highschool,White,Upper middle class,California,Pacific
yes,Male,61-70,Undergraduate,White,Middle class,MN,West North Central
yes,Male,>70,Undergraduate,White,Middle class,Ohio,East North Central
yes,Female,25-44,Graduate,White,Wealthy,DC,South Atlantic
yes,Male,>70,Masters,White,Middle class,Ohio,East North Central
yes,Female,25-44,Middle school or less,Hispanic,Middle class,PA,Mid-Atlantic
yes,Male,>70,Graduate,White,Middle class,Arizona,Mountain
yes,Male,61-70,Masters,White,Middle class,Maryland,South Atlantic
yes,Female,>70,Masters,White,Upper middle class,Illinois,East North Central
yes,Female,61-70,Graduate,White,Upper middle class,Florida,South Atlantic
yes,Male,>70,Graduate,White,Lower middle class/poor,new york,Mid-Atlantic
yes,Male,>70,Undergraduate,White,Wealthy,KY,East South Central
yes,Male,61-70,Highschool,White,Middle class,indiana,East North Central
yes,Female,25-44,Highschool,White,Lower middle class/poor,ohio,East North Central
yes,Female,18-24,Middle school or less,Asian,Wealthy,New York,Mid-Atlantic
yes,Male,61-70,Masters,White,Upper middle class,new york,Mid-Atlantic
yes,Female,61-70,Undergraduate,White,Middle class,Oregon,Pacific
yes,Male,61-70,Undergraduate,White,Upper middle class,Florida,South Atlantic
yes,Female,25-44,Masters,Asian,Upper middle class,New Jersey,Mid-Atlantic
